time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/10/18,227.3166035,185.5275473,157.2062269,,,,158.2182259,,54.18637181,,1214.683845,183.6002913,,216.3612742,157.0171765,322.6558774,61.334726,101.1293925,,,91.04091751,,56.07022713,,225.7966172,179.7264758,34.8185138,58.99058513,,171.6543154,120.6528988,109.0421557,99.43691329,216.5199463,105.0498861,,17.65657535,,
2022/10/19,,163.8600377,545.5390539,,,,,,50.80083118,,252.7052056,205.3408604,,218.9722872,107.8967306,,67.24943769,103.9840751,,,93.80159243,,56.99845123,,148.5426465,,25.5697579,66.63592798,,169.9146277,211.0832155,100.9519801,85.32570125,162.190396,102.887239,,17.63482134,,
2022/10/20,,140.6344007,313.2454506,,,,,,39.5158555,,179.6223829,211.8295165,,247.5569359,124.3458071,,73.25255986,,,,84.17403853,,83.4479202,,178.4485121,,52.85972478,63.62355928,,186.6674212,203.3713654,123.2549749,,138.8835869,117.3753621,,18.16162194,,
2022/10/21,,129.1386563,220.969647,,,,,177.6094547,37.5573413,,532.1767123,203.4754764,,250.8543809,169.6634482,,98.90709657,,,,111.7470223,,150.0427333,,202.4777948,,76.0708041,134.0177292,,180.1206483,190.5918994,182.2282896,,155.9635246,141.9453677,,18.5274509,,
2022/10/22,,149.7333503,227.4175663,,,,,117.0988032,41.83603648,,441.8352467,219.6859107,,197.4095999,137.1862127,,212.8389897,,,,147.9999799,,236.4792294,,185.4158688,,141.2376563,177.1252315,,167.2491857,248.9431152,295.8322902,,184.3093317,215.854188,,18.24053735,,
2022/10/23,,136.4584751,203.2472787,,,,,107.3146164,39.04936999,,367.1633158,209.8911133,,193.7053908,154.2171865,,170.1813044,,,,137.3573976,,266.9425248,,172.821861,,161.5598396,126.7374025,,164.1442856,184.4401602,262.2168118,,169.8923183,144.4589496,,18.32735852,,
2022/10/24,,202.8141554,310.9625407,,,,,80.33399326,27.50123976,,621.7149418,250.911049,,232.7402055,182.7237022,,100.2710738,,,,101.3654075,,117.5319802,,281.0518672,,110.2061831,115.89566,,254.1328325,212.7263587,155.8545902,,213.0294123,108.1860476,,18.21840119,,
2022/10/25,,114.9851479,387.6857022,,,,,92.50914763,36.79650011,,167.7043561,223.5578844,,298.744705,175.3649231,,84.64173953,,,,82.1062668,,69.94059404,,203.4732447,,28.98349409,84.59497095,,192.1130477,226.813873,117.4372433,,135.0093549,104.1870586,,18.08962,,
2022/10/26,,91.58638772,346.2516738,,,,,80.55368264,29.51653001,,99.14896274,161.0677737,,198.8751923,175.8215802,,102.1874859,,,,79.1584481,,85.8251398,,150.7730105,,137.4755031,93.53853443,,155.8084698,182.9464751,145.9687537,,125.949029,114.4003078,,18.51879332,,
2022/10/27,,62.69720832,145.1965465,,,,,92.96951032,30.06448564,,103.964563,115.9171755,,119.9051046,112.1423354,,233.1999641,,,,69.12741525,,133.8594861,,113.4265578,,249.2461887,77.60024527,,95.41826341,344.937369,186.619653,,103.1339276,91.98265118,,19.10210087,,
2022/10/28,,50.80768392,129.0755159,,,,,69.61108966,17.82190119,,115.8375853,91.86948601,,106.7656909,84.08560566,,167.6233552,,,,59.51926964,,80.14828301,,94.38547305,,40.73614263,75.58156433,,88.27851028,248.8458204,129.7611581,,94.33049665,121.3774158,,18.93218769,,
2022/10/29,,81.35882525,163.294189,,,,,92.22237195,25.84791177,,128.6367594,124.9688277,,122.6159157,110.1679843,,186.0096633,,,,74.0804096,,102.9986076,,113.1365598,,,90.91351217,,104.2644962,206.7898173,143.2734545,,118.3935927,85.81108873,,18.53043337,,
2022/10/30,,111.5125337,181.3556567,,,,,165.5843356,54.40619118,,118.6226927,173.4959553,,162.0557172,142.635899,,155.4427073,,,,106.68669,,143.4051785,,145.1680563,,,124.705923,,142.024084,170.1144928,186.7242839,,153.6807139,170.3668005,,18.92529813,,
2022/10/31,,152.9418906,211.318159,,,,,145.5737229,46.6585629,,124.9595839,220.9567026,,183.9374171,200.7342255,,175.866711,,,,149.3057518,,227.9017367,,176.6761375,,,190.5766795,,157.896365,235.427254,267.4799087,,197.8580176,120.3164374,,19.03846416,,
2022/11/1,,169.9994371,305.5047209,,,,,98.78059472,35.71682168,,131.122271,240.0454573,,225.992743,262.9654647,,197.062273,,,,139.9997259,,121.4658125,,223.1494801,,,160.8087751,,207.8984784,253.1002778,164.1111268,,186.6176852,134.5447797,,19.10479928,,
