device 70,device 81,device 83,device 89,device 96,device 99
347.6013068,266.7973983,536.1880655,321.8292565,288.2171308,610.3006503
424.645207,305.1246408,609.9969553,400.4929075,497.3169593,698.2136298
321.8086105,287.3743848,322.31757,306.5510613,383.5045528,486.4679808
251.9739748,202.321991,324.086017,191.9458,489.4110165,357.6787378
235.6622228,172.741909,426.2252533,180.954969,359.6461143,296.9764423
270.993333,267.1087288,321.5894315,213.4929013,351.4130678,407.9610125
310.9043425,303.6082288,346.5102635,329.0130013,471.9105375,428.733843
369.656504,347.4711648,365.1791088,349.0506583,590.358067,502.7946003
376.616995,320.7404345,354.2105485,363.4017355,525.397452,484.7206105
351.5414648,375.2625135,359.1377445,364.262758,598.7348163,646.2312913
360.9962925,360.650108,374.1994348,361.8656148,585.2814938,523.4288765
423.132045,325.1170308,315.4732648,366.898523,467.4671133,1086.296312
339.3342653,282.0032928,326.0314028,293.8219463,396.4733724,664.3827778
314.2487283,192.4526265,261.805908,213.1551698,203.1603723,559.862935
287.3376845,204.9264305,175.5510113,221.799523,145.232031,302.2186865
286.5033293,203.0195568,157.46191,205.605985,142.7656113,251.8476043
262.8100888,213.4575658,220.124717,195.9313644,125.0425808,208.534142
205.7269308,197.3534013,196.595215,179.1353628,116.335052,209.4343495
207.4304298,192.2465428,189.7731138,171.364877,85.609627,187.9270005
195.3492265,173.3673403,176.621876,166.289942,65.24253075,181.619465
182.9925903,164.029795,161.4610693,160.522003,64.1620375,170.3993528
175.3886598,159.7103285,132.9937064,163.7967088,96.35300575,171.1065765
162.3589943,152.1945115,135.9407008,163.962224,114.4716928,157.5379838
158.0031213,149.2983803,132.164446,163.8960955,127.111536,158.6938963
164.7385433,166.5885178,141.4885283,167.260942,151.0089414,209.890174
171.0769957,171.5177013,152.224887,182.6816333,192.1586063,236.4077284
152.2540493,151.2672743,143.416738,164.831483,178.0460068,318.7227145
161.3574148,153.890313,150.162859,168.0804558,175.7729068,245.3604573
122.095715,136.4618708,141.6052023,131.2311238,155.677655,145.2309635
107.549115,129.1577808,148.4336773,118.3304778,140.6496498,131.3735203
106.9837395,116.0644165,158.656224,128.1516695,133.540475,193.6629507
99.370171,109.0579293,118.7149708,122.9653958,129.3088273,195.2275874
100.080539,114.7403255,120.1946068,125.0988623,129.798833,179.3917125
96.9499252,113.9834205,115.8352013,122.274224,132.324295,267.359801
105.2257808,122.114509,124.606508,134.356821,149.9136005,427.9005418
91.86013125,104.090001,146.7482224,125.2613773,132.299639,419.2488472
84.949339,107.9989718,118.8606503,114.8224615,123.692962,354.347143
72.79672275,113.462634,132.3363556,110.934301,123.8572413,206.9892968
78.746443,114.3723713,125.3021003,114.6019525,141.2939622,270.7143998
85.63132775,121.3499523,112.1167533,110.4055215,129.38581,268.04995
88.61273775,113.689887,133.230909,112.6624835,125.6837258,143.8111728
78.23399675,107.0372408,136.0697018,103.506874,98.451909,131.5242733
71.4092065,100.2097555,122.7254452,99.4529095,99.7431055,131.7202345
65.23214375,94.640187,117.978318,90.27235475,90.54954625,117.0744793
66.72825325,100.8527025,99.35154425,95.39964475,103.1056353,134.5990738
76.04661325,106.4225268,128.7230253,109.7906873,108.4859808,141.9376225
84.4164515,111.8096093,125.0536218,120.024766,120.078589,143.9758313
89.5329255,113.6745448,105.184689,126.8689195,131.0691958,276.4162752
94.4733305,113.030147,106.580057,132.062246,132.3352273,367.4893073
93.427768,113.1791225,132.7096818,124.9252203,132.0244793,325.7209918
92.668402,126.1974543,153.8067625,127.83664,141.5374738,276.658272
108.7486943,127.9137593,136.2443083,145.484799,153.0331183,321.2431098
105.4246362,125.1976145,141.3431915,143.3261383,157.7161873,213.4008588
101.811055,129.050476,132.1813245,141.347736,158.823657,196.6605983
101.9247133,126.0482863,130.5671595,142.6129568,154.8455043,158.4759553
109.5073028,132.5306618,139.5672693,142.168671,175.19703,148.0961513
108.561293,134.8512455,138.309038,142.7614208,178.7804248,147.9594148
107.2772228,140.8327208,139.066068,146.4119705,182.155281,141.3186523
111.9319393,127.9248908,161.972065,141.8026948,169.6975593,249.1123615
110.176474,143.807868,146.5903875,150.765384,181.9472283,686.9513638
107.0620733,136.6945213,121.3847153,146.205028,188.498297,371.1568978
102.8524818,127.969334,117.5405203,130.6536715,170.00118,550.5036713
100.542502,134.016105,118.5214605,128.3219848,154.8657735,267.742276
97.33832975,163.1198955,119.242624,124.898809,159.8626605,223.8995228
100.3076835,128.2305325,119.2280895,119.8645263,143.2615245,330.7443638
100.370352,127.9783,127.5285063,119.102181,127.7097088,233.5448225
104.1479955,124.8838575,127.746142,125.9878835,122.7202983,228.5290725
111.0166395,177.8564785,138.5441713,122.9150015,95.1738515,181.1933623
114.6768395,180.9963928,142.8297656,129.9234878,91.380949,161.030453
115.9194185,185.8075385,216.542969,142.4291198,137.3801308,170.863877
126.6229463,194.8629273,258.870373,168.2079588,182.7916063,172.041337
148.288655,227.7227265,270.0594452,154.4056518,215.6297943,202.7198048
163.4283705,151.6440498,304.417445,144.460127,241.7147468,140.0278315
134.31805,134.290812,198.4445124,245.809749,217.7138715,145.2442348
122.2478225,123.9723218,172.8962695,164.4405923,144.0310493,289.8622723
125.783502,130.5447705,138.051526,152.9279238,140.0088245,435.3980153
122.8195583,133.5692805,127.1396475,152.638634,144.4661218,313.102409
116.6764473,124.6187253,124.6908525,144.1876415,142.54089,334.6696118
114.096599,125.873429,118.3534807,148.3908148,130.8792135,296.674055
110.5790815,126.1581065,121.1105868,144.7620523,133.777302,312.4509978
115.3192273,123.9787448,147.6982773,144.0658083,146.1236833,317.160025
120.5125698,129.851706,142.9321725,147.3500508,146.487211,292.2687893
137.3378345,139.787535,195.7617898,157.3638523,172.2516898,266.8234578
139.3701918,142.5584663,276.4690978,163.834902,260.5331028,284.377812
148.099296,178.542436,249.6287265,178.116881,302.9138898,279.804091
189.574846,205.5641165,170.8249263,248.522489,236.9271304,454.0899548
228.8417653,208.893853,193.3933543,193.770852,266.5343338,294.4254968
201.9809338,155.7311063,172.6548403,228.8498285,173.3269853,215.4446114
173.2735033,191.1070783,175.853588,183.7992633,206.7416045,193.698248
185.3789337,177.465966,160.197782,186.0852938,189.5469635,205.0835893
198.4849162,227.3727828,171.5691973,198.0014393,143.4106183,226.9432393
242.7233005,271.2947995,141.9572338,256.5430773,123.350805,211.805319
250.8262118,485.9638045,193.370528,210.5959153,419.1869648,181.317595
292.3787595,385.8621913,134.3904268,220.3942645,431.7752433,162.2341198
265.232797,300.679294,131.5248763,224.9977938,347.1376723,166.3584323
330.2362025,170.6755775,356.824853,297.48015,173.445021,175.166759
223.513322,175.5086743,167.929319,251.8480478,160.7850728,185.4108245
200.3866698,189.1232938,177.2458128,221.3001178,181.9782105,258.9204195
190.6288878,179.5072865,175.5707918,190.4964613,175.432081,300.41101
165.4001095,164.8263955,159.3311383,176.4655355,167.619749,225.8838833
156.8406738,192.8425298,163.3929428,173.743948,164.6150228,295.973172
